Time,i0_x,i0_y,i0_z,mag1_x,mag1_y,mag1_z,mag2_x,mag2_y,mag2_z,
1.4241,0.11529,0.993329,-0.00254429,0.372723,-0.927943,7.74e-05,0.118133,0.992995,0.00237668,
1.4342,0.114454,0.993428,0.000705385,0.375198,-0.926932,-0.00478008,0.121682,0.992558,0.00472891,
1.4443,0.116714,0.993157,0.00408375,0.381882,-0.924165,-0.00919496,0.126966,0.991886,0.00641738,
1.4544,0.122057,0.992497,0.00725293,0.39205,-0.919858,-0.0126121,0.133393,0.991035,0.00751847,
1.4645,0.130134,0.991447,0.0098462,0.40455,-0.914398,-0.0146795,0.140497,0.990048,0.00813699,
1.4746,0.140249,0.990049,0.0115204,0.41805,-0.908295,-0.0152925,0.147918,0.988964,0.0083514,
1.4847,0.151406,0.988399,0.0120217,0.431281,-0.9021,-0.0145725,0.155348,0.987826,0.00819042,
1.4948,0.162424,0.986657,0.0112455,0.443215,-0.896324,-0.0127984,0.162471,0.986684,0.00764151,
1.5049,0.172108,0.985034,0.00927265,0.453152,-0.891374,-0.0103185,0.168933,0.985605,0.00668086,
1.515,0.179431,0.98375,0.00636839,0.46072,-0.887514,-0.00747287,0.174348,0.98467,0.00530945,
1.5251,0.183699,0.982978,0.00294238,0.465817,-0.884869,-0.00454415,0.178344,0.983962,0.00358075,
1.5352,0.184656,0.982803,-0.000521215,0.468529,-0.883446,-0.00174167,0.180623,0.983551,0.00161129,
1.5453,0.182515,0.983197,-0.00354869,0.469059,-0.883167,0.000786267,0.181027,0.983478,-0.000428138,
1.5554,0.177903,0.984031,-0.00575874,0.467685,-0.88389,0.00292564,0.17958,0.983741,-0.00233638,
1.5655,0.171742,0.985118,-0.00692438,0.464754,-0.885428,0.00457057,0.176499,0.984293,-0.00391355,
1.5756,0.165078,0.986256,-0.00700224,0.460692,-0.887542,0.00561086,0.172181,0.985053,-0.00499177,
1.5857,0.158901,0.987276,-0.00612317,0.456024,-0.889948,0.00593973,0.167154,0.985916,-0.00545848,
1.5958,0.153995,0.988061,-0.00454781,0.451372,-0.892319,0.00548022,0.162017,0.986774,-0.00526869,
1.6059,0.150843,0.988554,-0.00259935,0.447422,-0.894313,0.00422071,0.157375,0.987529,-0.00444619,
1.616,0.149605,0.988746,-0.00059166,0.44485,-0.895602,0.00224535,0.153774,0.988101,-0.00307642,
1.6261,0.150165,0.98866,0.0012287,0.444222,-0.895917,-0.000254847,0.151654,0.988433,-0.00129493,
1.6362,0.152226,0.988342,0.00271373,0.44589,-0.895083,-0.00299837,0.151313,0.988486,0.000725599,
1.6463,0.155413,0.987842,0.00381442,0.449923,-0.893049,-0.00565602,0.152877,0.988241,0.00278863,
1.6564,0.159364,0.987209,0.00455608,0.456085,-0.889901,-0.00790915,0.156287,0.987701,0.00468832,
1.6665,0.163781,0.986484,0.00500043,0.463877,-0.885849,-0.00950696,0.161297,0.986886,0.00622698,
1.6766,0.168442,0.985698,0.00520874,0.47263,-0.8812,-0.0103068,0.16749,0.985847,0.00723624,
1.6867,0.173178,0.984877,0.00521713,0.48162,-0.87632,-0.0102878,0.174313,0.984661,0.00759985,
