Time,Magnet_72_0_x,Magnet_72_0_y,Magnet_72_0_z,Magnet_72_1_x,Magnet_72_1_y,Magnet_72_1_z,Magnet_72_2_x,Magnet_72_2_y,Magnet_72_2_z,Magnet_72_3_x,Magnet_72_3_y,Magnet_72_3_z,Magnet_72_4_x,Magnet_72_4_y,Magnet_72_4_z,Magnet_72_5_x,Magnet_72_5_y,Magnet_72_5_z,Magnet_72_6_x,Magnet_72_6_y,Magnet_72_6_z,Magnet_72_7_x,Magnet_72_7_y,Magnet_72_7_z,Magnet_72_8_x,Magnet_72_8_y,Magnet_72_8_z,Magnet_72_9_x,Magnet_72_9_y,Magnet_72_9_z,Magnet_72_10_x,Magnet_72_10_y,Magnet_72_10_z,Magnet_72_11_x,Magnet_72_11_y,Magnet_72_11_z,Magnet_72_12_x,Magnet_72_12_y,Magnet_72_12_z,
4.1,0.0159008,0.999874,-3.5916e-05,0.885858,0.463948,0.00269094,0.993563,-0.113239,0.00309954,0.995071,-0.0991582,-0.00129132,0.268293,0.963337,0.000267171,0.98649,-0.163633,0.00789295,-0.0501327,-0.998743,0.000339808,0.540939,0.841059,-0.00194602,0.409106,0.912484,-0.00240826,0.444114,-0.895959,0.00452953,0.49874,0.86673,-0.00606214,0.540868,-0.841071,0.00791293,0.541993,0.840345,-0.00796583,
4.2,0.0154566,0.999881,-5.05353e-05,0.904175,0.42715,0.00328756,0.99071,-0.135989,-0.000584638,0.995193,-0.0979354,0.000508617,0.269934,0.962879,-4.02538e-05,0.919817,-0.391888,0.0190004,-0.0476845,-0.998862,-0.000557314,0.522173,0.852839,0.000481075,0.381253,0.92447,-0.00140751,0.405589,-0.914049,0.00355063,0.450145,0.892938,-0.00551797,0.481619,-0.87635,0.00728281,0.479852,0.877319,-0.00726814,
4.3,0.0152413,0.999884,-3.05754e-05,0.914163,0.40534,0.00227736,0.992097,-0.125467,-0.00146411,0.995652,-0.093153,0.000125918,0.26956,0.962983,-0.000300452,0.958947,-0.282371,-0.0262205,-0.0499421,-0.998752,0.000162423,0.523572,0.851981,-0.00122368,0.378584,0.925566,-0.00111413,0.390154,-0.920747,0.00213448,0.410216,0.911979,-0.00410014,0.427137,-0.904168,0.00583229,0.420365,0.907334,-0.00618926,
4.4,0.0149544,0.999888,-3.99667e-05,0.925554,0.378606,0.0027039,0.99383,-0.110914,0.000313409,0.995869,-0.0908066,-0.000244953,0.268142,0.963379,0.000154933,0.987385,-0.158287,0.00398964,-0.0514203,-0.998677,-0.000250257,0.521893,0.853011,-0.000657607,0.366486,0.930423,-0.0011323,0.363564,-0.931565,0.00284154,0.365956,0.930618,-0.00506541,0.371964,-0.928219,0.00718916,0.3635,0.931563,-0.00766542,
4.5,0.0147195,0.999892,-3.7486e-05,0.935757,0.352636,0.00263534,0.99313,-0.117012,-5.5761e-05,0.995957,-0.0898276,-0.000146696,0.268546,0.963267,0.000156871,0.967314,-0.253536,0.00490034,-0.0504717,-0.998725,-0.000167922,0.51357,0.858048,-0.000479613,0.352366,0.93586,-0.00193468,0.338315,-0.941025,0.00377873,0.322267,0.946636,-0.00496911,0.315648,-0.948857,0.00603229,0.303358,0.95286,-0.00566896,
4.6,0.0144884,0.999895,-2.7562e-05,0.944647,0.328081,0.00206599,0.993919,-0.110115,-0.000730721,0.996162,-0.0875237,-0.000151309,0.267667,0.963511,-9.31195e-05,0.98309,-0.182704,-0.0123849,-0.0511664,-0.99869,0.000227036,0.509525,0.860456,-0.000481784,0.341614,0.93984,-0.000841226,0.314619,-0.949215,0.00241379,0.278298,0.960484,-0.00454254,0.258254,-0.966056,0.00632996,0.241905,0.970277,-0.00662073,
4.7,0.0143146,0.999898,-2.84166e-05,0.951564,0.307443,0.0021944,0.994628,-0.103517,0.000109515,0.996361,-0.08523,-2.18457e-05,0.267178,0.963647,-3.50961e-05,0.991566,-0.129559,0.00335322,-0.0514458,-0.998676,2.85514e-05,0.50665,0.862151,-0.00106146,0.330595,0.943772,-0.00144397,0.290772,-0.956788,0.00288028,0.235755,0.971801,-0.00461738,0.204998,-0.978743,0.00622525,0.186711,0.982394,-0.0064768,
4.8,0.0141176,0.9999,-2.55924e-05,0.958711,0.284376,0.00198401,0.994484,-0.104885,-0.000288943,0.996495,-0.0836468,-2.385e-05,0.267529,0.96355,-3.29682e-05,0.985898,-0.167343,-0.00113735,-0.0508888,-0.998704,6.464e-05,0.500408,0.865789,-0.000631081,0.316669,0.948535,-0.00167897,0.26359,-0.964629,0.00332993,0.189794,0.981813,-0.00471382,0.146448,-0.9892,0.00601307,0.12494,0.992146,-0.00601937,
4.9,0.0139863,0.999902,-2.06309e-05,0.963711,0.266942,0.00159866,0.995032,-0.099551,-0.000292661,0.996671,-0.081528,-0.000132522,0.266838,0.963741,5.43874e-07,0.993495,-0.113805,-0.00413524,-0.0513827,-0.998679,6.63027e-05,0.49585,0.868408,-0.000356629,0.30604,0.952018,-0.00101119,0.240829,-0.970564,0.00261276,0.147023,0.989123,-0.00449393,0.0918349,-0.995756,0.00603395,0.0673301,0.997711,-0.00623515,
5,0.0138433,0.999904,-2.07553e-05,0.968613,0.248569,0.00167424,0.995242,-0.0974372,0.000211518,0.996778,-0.080216,-9.64217e-05,0.266689,0.963783,5.1575e-05,0.992863,-0.119238,0.00242615,-0.051312,-0.998683,-6.34871e-05,0.490659,0.871351,-0.00112093,0.292804,0.956171,-0.0017131,0.214541,-0.97671,0.00322056,0.102144,0.994759,-0.0046838,0.0355695,-0.999349,0.00607407,0.00853176,0.999944,-0.006208,
5.1,0.0137814,0.999905,1.09016e-06,0.9692,0.246276,-0.000489921,0.995549,-0.0942198,-0.00209885,0.996837,-0.0794771,-0.000104176,0.267046,0.963684,0.000131539,0.993221,-0.116219,-0.00237586,-0.0514861,-0.998674,2.96877e-05,0.53146,0.84704,0.00857396,0.343214,0.939174,0.0124647,0.26214,-0.964916,-0.0148389,0.112998,0.993573,0.00660153,0.0402974,-0.999169,-0.00617793,0.009973,0.999931,0.00613153,
5.2,0.0135966,0.999908,-2.74101e-05,0.972045,0.234791,0.00146969,0.996318,-0.0857312,-5.30703e-06,0.99687,-0.0790619,-0.000228378,0.267438,0.963575,1.2939e-05,0.994864,-0.10122,0.000514401,-0.0518146,-0.998657,-1.75079e-05,0.588267,0.808661,0.00303906,0.422279,0.906464,0.00201999,0.342602,-0.93948,-0.000896379,0.140661,0.990057,-0.00151906,0.0588221,-0.998266,0.0024372,0.022598,0.999742,-0.00242307,
